France / Remote	Dozamenart	Dozamenart.hiring@gmail.com	Direct Employers	To Contact			Paris / Remote; Gmail contact but country is explicit in the post.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	DastN GmbH		Direct Employers	To Contact			Germany-wide hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	ABOUT YOU		Direct Employers	To Contact			Hamburg hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Adidas		Direct Employers	To Contact			Herzogenaurach hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Adjust		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Atrya		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Bayer		Direct Employers	To Contact			Leverkusen hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Blinkist		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	BMW Group		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Celonis		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Choco		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Contentful		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	DeepL		Direct Employers	To Contact			Cologne hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Distribusion		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	exmox		Direct Employers	To Contact			Hamburg hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	FINN		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Flix		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Forto		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	GetYourGuide		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Helsing		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Infineon Technologies		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Kaufland e-commerce		Direct Employers	To Contact			Cologne hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Kombo		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Lilium		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
