Mangopay MENA	https://mangopay.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://mangopay.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
Now Money	https://nowmoney.me/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://nowmoney.me/careers	Low	Run company careers/LinkedIn check	2026-06-06
NymCard	https://nymcard.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://nymcard.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
Presight AI	https://presight.ai/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8705.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://presight.ai/careers	Medium	Run company careers/LinkedIn check	2026-06-06
Pyypl	https://pyypl.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://pyypl.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
Sarwa	https://sarwa.co/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://sarwa.co/careers	Low	Run company careers/LinkedIn check	2026-06-06
Spotii	https://spotii.me/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8704.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://spotii.me/careers	Low	Run company careers/LinkedIn check	2026-06-06
Stake	https://getstake.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://getstake.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
Swvl	https://swvl.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8702.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://swvl.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
Tabby	https://tabby.ai/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8704.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://tabby.ai/careers	Low	Run company careers/LinkedIn check	2026-06-06
Tamara	https://tamara.co/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8704.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://tamara.co/careers	Low	Run company careers/LinkedIn check	2026-06-06
Trukker / Tenderd	https://tenderd.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8702.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://tenderd.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
Wio Bank	https://wio.io/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://wio.io/careers	Medium	Run company careers/LinkedIn check	2026-06-06
Yallacompare	https://yallacompare.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://yallacompare.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
YAP	https://yap.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://yap.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
Ziina	https://ziina.com/careers	Direct Employer	To Contact			Country/Region: UAE / GCC / MENA; Category: Company career-link lead; Source: IMG_8703.HEIC; Move from Unknown into UAE/GCC direct-employer research queue.	Needs Manual Check		https://ziina.com/careers	Low	Run company careers/LinkedIn check	2026-06-06
Freelance Video Editor lead	WhatsApp: 9511116204	Phone / WhatsApp Lead	To Contact			Only a phone number was captured; keep out of email tables.						
BSD / Amlanjyoti UX UI lead	amlanjyotibharali@bsd.ed	Phone / WhatsApp Lead	To Contact			OCR email appears malformed; verify image before outreach.						
Reslink lead	team@reslink.org	Phone / WhatsApp Lead	To Contact			Do not merge with reslink.io without visual/web confirmation.						
Neeraj / portfolio hiring lead	neerajiwtwrs@gmail.com	LinkedIn/Search	To Contact			Keep for manual review, not Dubai.						
Sukhakala	sukhakala.id@gmail.com	LinkedIn/Search	To Contact			Manual verification required.						
