Germany	LILLYDOO		Direct Employers	To Contact			Frankfurt hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Lufthansa Systems		Direct Employers	To Contact			Raunheim hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Mambo		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Monika Saleta	job@monikasaleta.com	Direct Employers	To Contact			Remote Europe role; company HQ location is Germany.	Needs Manual Check		https://monikasaleta.com	High	Run company careers/LinkedIn check	2026-06-06
Germany	Omio		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Personio		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Raisin		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	SAP		Direct Employers	To Contact			Walldorf hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Siemens		Direct Employers	To Contact			Munich hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Solaris		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Sonarsource		Direct Employers	To Contact			Bochum hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	SumUp		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Taxfix		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	TRUECHART		Direct Employers	To Contact			Southern Germany hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Volkswagen Group		Direct Employers	To Contact			Wolfsburg hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Volocopter		Direct Employers	To Contact			Bruchsal hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
Germany	Wolt Germany		Direct Employers	To Contact			Berlin hiring-list row; no contact captured.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
India	byPeople Technologies	recruitment.bypt@gmail.com	Agencies	To Contact			Bangalore UX Designer opening; strong British communication required.	Needs Manual Check			High	Run agency website/LinkedIn check	2026-06-06
India	Artium Academy	priya@artiumacademy.com; pallav@artiumacademy.com	Direct Employers	To Contact			On-site product designer role in Bangalore.	Needs Manual Check		https://artiumacademy.com	High	Run company careers/LinkedIn check	2026-06-06
India	Byond Studio	team@wearebyond.com	Direct Employers	To Contact			Hiring within Delhi only.	Needs Manual Check		https://wearebyond.com	High	Run company careers/LinkedIn check	2026-06-06
India	Celonis		Direct Employers	To Contact			Bangalore / India careers link surfaced in the post.	Needs Manual Check		https://careers.celonis.com/join-us	High	Run company careers/LinkedIn check	2026-06-06
India	Jaani's Cafe	jaaniscafe@gmail.com	Direct Employers	To Contact			Shoja, Himachal Pradesh; paid role with stay and food covered.	Needs Manual Check			High	Run company careers/LinkedIn check	2026-06-06
India	LearnTube.ai	shronit@learntube.ai; gargi@learntube.ai	Direct Employers	To Contact			Mumbai roles with hybrid work structure.	Needs Manual Check		https://learntube.ai	High	Run company careers/LinkedIn check	2026-06-06
India	Merck		Direct Employers	To Contact			Bangalore / India careers link surfaced in the post.	Needs Manual Check		https://careers.merckgroup.com	High	Run company careers/LinkedIn check	2026-06-06
